remove 	 Pancoast 	 Parents 	 Sign
comment 	 Invasive TCC 	 change name
comment 	 Ureteric TCC 	 change name
comment 	 Transitional Cell Carcinoma 	 change name to "of bladder"
comment 	 Haematological pathology 	 should not be under disease
comment 	 pancoast 	 duplicate-delete
comment 	 Acute glomerulonephritis 	 Is this the same as rapidly progressive
comment 	 Stupor 	 this is not caused by infectious disease
comment 	 Toxiic states 	 delete this and replace with something else
comment 	 Stupor 	 more specific than toxic state is needed
comment 	 Stupor 	 delirium as cause
comment 	 Encephalopathy 	 causes shuold go under toxic encephalopathy
comment 	 Chancroid 	 could go under genital ulcer
comment 	 Trachoma 	 describe
comment 	 Arteriovenous malformation 	 cerebral arteriovenous maloformation is both parent and child 
comment 	 Teratogenic drug 	 subtypes need filling in
comment 	 Gastrointestinal carcinoma 	 should cause upper gi bleed, not haematemesis and melaena
comment 	 Haematemesis 	 consider moving all the causes up one level
comment 	 Breath smell 	 needs synonyms
comment 	 Multiple birth 	 add gestational diabetes as an effect
comment 	 Incomplete separation 	 Improve name and synonyms
comment 	 Multiple birth 	 synonyms
comment 	 Hydrops fetalis 	 move description items to effects-haemorrhage, tachycardia etc
comment 	 Caesarian section 	 change to subclass of surgery not childbirth
comment 	 Shunt nephritis 	 caused by vp shunt
comment 	 Genetic disease 	 Effects must all be removed and the genetic relation must be specified
comment 	 Autosomal recessive disorder 	 Effects must all be made children
comment 	 Bladder outflow obstruction 	 chronic retention should be moved from child to effect
comment 	 Pelviureteric junction obstruction 	 add synonym PUJ obstruction
comment 	 Iatrogenic 	 Should delete this and be more specific. Says ligation of ureter.
comment 	 Barium sign 	 should not inherit from enema, which is a treatment
comment 	 Neurological investigation 	 synonym LP is on wrong item
comment 	 Renal vein thrombosis 	 cause hypercoagulable state can be removed - already inherited
comment 	 Secondary Glomerular disease 	 consider nephrotic in name
comment 	 Primary Glomerular disease 	 consider nephrotic in name
comment 	 Ageing 	 merge with old age?
comment 	 Erythema 	 three causes should be moved to more specific subtypes
comment 	 Dyschondroplasia 	 synonym has extraneous bracket
comment 	 Stridor  	 add cause epiglottitis
comment 	 Liver abscess 	 remove amoebic liver abscess cause which is also a subtype
comment 	 Blood in faeces 	 add synonym haematochezia
comment 	 Disease 	 tcc
comment 	 Squamous cell carcinoma 	 name -of bladder
comment 	 TURBT 	 unabbreviated
comment 	 TIPS 	 unabbreviated
comment 	 Plasmapheresis 	 add synonym PlEx
comment 	 Surgery 	 Treats items should be for subclasses only
comment 	 Congenital malformation 	 move  kyphosis from effects to subtypes?
comment 	 Kyphosis 	 postural is not a cause of anything. It must be an entity! Maybe make Poor Posture, which should be a subtype of lifestyle
comment 	 Spondylosis 	 this is incomplete. related to cervical spondylosis? supertype?
comment 	 Scheuermann Kyphosis 	 remove capital from Kyphosis
comment 	 Scheuermann Kyphosis 	 should this be a type of kyphosis? depends on what causes it
